"period","amp","per","phi","amp_p_value","per_p_value","phi_p_value"
5,0.040579835376097,4.9979669273985,-0.546565535553105,6.48e-19,0,0.0337
6,0.0278479305650778,6.13106642421149,45.8348930015442,1.09e-09,0,0
7,0.0612285423886696,7.01191484481791,2.7969835146203,9.84e-41,0,1.47e-61
8,0.0445466723801076,8.59885811917946,102.424944584308,2.45e-22,0,0
9,-0.0327384809983799,8.99458566564174,-0.552792834675771,8.55e-13,0,0.0819
10,-0.0376687655682663,9.95759526427788,-7.98324130231069,2e-16,0,1.19e-181
11,-0.0548200674839681,11.1583816978199,12.103958777847,2.87e-33,0,0
12,-0.0247731217503672,11.9821746550801,-0.076967463352804,6.08e-08,0,0.855
13,-0.0659992889417961,12.9971743207903,-1.45286948787548,6.41e-48,0,8.38e-20
14,-0.0414413440182562,14.0191380461294,0.542711689153541,6.9e-20,0,0.0333
