"period","amp","per","phi","amp_p_value","per_p_value","phi_p_value"
5,-0.0539776530734968,5.00602463308092,1.97899942463874,8.07e-17,0,6.17e-13
6,0.0634944791942798,-6.02171492562237,1423.80209326226,1.5e-22,0,0
7,-0.0621486579805049,7.01191776172098,2.66192941511514,9.85e-22,0,1.03e-28
8,0.0573756924734332,7.99342575089114,-1.94998624278178,6.96e-19,0,3.73e-14
9,-0.0761469027046438,9.01129338302631,0.548381575383224,4.14e-32,0,0.00498
10,-0.066748591059033,9.94020264438529,-14.1013114769936,4.03e-25,0,0
11,0.0687788552726967,11.0499058645583,8.13211919486288,3.14e-26,0,2.44000000000001e-310
12,0.0611276557404486,11.9849000005772,-1.96681952232982,4.06e-21,0,3.74e-16
13,-0.100258283948252,13.0402022485515,2.88597471951975,1.25e-53,0,2.12e-86
14,0.0315702203426036,14.006014195399,-0.441566902031689,8.69e-07,0,0.346
