site,ml,period,amp,per,phi,amp_p_value,per_p_value,phi_p_value
HARV,10,14,-0.050114007,14.01248926,-0.087728237,1.14e-22,0,0.699
HARV,top,5,0.040579835,4.997966927,-0.546565536,6.48E-19,0,0.0337
HARV,top,6,0.027847931,6.131066424,45.834893,1.09E-09,0,0
HARV,top,7,0.061228542,7.011914845,2.796983515,9.84E-41,0,1.47E-61
HARV,top,8,0.044546672,8.598858119,102.4249446,2.45E-22,0,0
HARV,top,9,-0.032738481,8.994585666,-0.552792835,8.55E-13,0,0.0819
HARV,top,10,-0.037668766,9.957595264,-7.983241302,2.00E-16,0,1.19E-181
HARV,top,11,-0.054820067,11.1583817,12.10395878,2.87E-33,0,0
HARV,top,12,-0.024773122,11.98217466,-0.076967463,6.08E-08,0,0.855
HARV,top,13,-0.065999289,12.99717432,-1.452869488,6.41E-48,0,8.38E-20
HARV,top,14,-0.041441344,14.01913805,0.542711689,6.90E-20,0,0.0333
OSBS,10,5,0.037080404,-2.825430154,8236.958925,2.12E-08,0,0
OSBS,10,6,-0.066521687,6.005130552,0.589971384,9.03E-24,0,0.00733
OSBS,10,7,-0.066296211,7.00146319,1.64449248,1.02E-23,0,9.40E-14
OSBS,10,8,0.053642695,7.99580408,-0.765810028,7.36E-16,0,0.00501
OSBS,10,9,0.072147071,9.000775814,0.663671542,1.18E-27,0,0.00111
OSBS,10,10,-0.027255788,9.987977302,-0.576653871,4.31E-05,0,0.282
OSBS,10,11,0.062997549,11.00400099,1.182263532,1.31E-21,0,4.90E-07
OSBS,10,12,0.056205725,11.99134866,-0.661523676,3.50E-17,0,0.0108
OSBS,10,13,-0.080293198,13.03211712,2.640017915,5.15E-34,0,1.64E-47
OSBS,10,14,-0.109575983,14.09429382,3.229018424,2.20E-62,0,1.82E-125
OSBS,top,5,-0.053977653,5.006024633,1.978999425,8.07E-17,0,6.17E-13
OSBS,top,6,0.063494479,-6.021714926,1423.802093,1.50E-22,0,0
OSBS,top,7,-0.062148658,7.011917762,2.661929415,9.85E-22,0,1.03E-28
OSBS,top,8,0.057375692,7.993425751,-1.949986243,6.96E-19,0,3.73E-14
OSBS,top,9,-0.076146903,9.011293383,0.548381575,4.14E-32,0,0.00498
OSBS,top,10,-0.066748591,9.940202644,-14.10131148,4.03E-25,0,0
OSBS,top,11,0.068778855,11.04990586,8.132119195,3.14E-26,0,2.44000000000001e-310
OSBS,top,12,0.061127656,11.9849,-1.966819522,4.06E-21,0,3.74E-16
