"period","amp","per","phi","amp_p_value","per_p_value","phi_p_value"
5,0.0370804040194618,-2.8254301540226,8236.95892498163,2.12e-08,0,0
6,-0.0665216865270244,6.00513055226065,0.589971384321687,9.03e-24,0,0.00733
7,-0.066296210988214,7.00146319046606,1.64449247981371,1.02e-23,0,9.4e-14
8,0.0536426950685944,7.99580408007261,-0.76581002790619,7.36e-16,0,0.00501
9,0.072147071079926,9.00077581358577,0.66367154161461,1.18e-27,0,0.00111
10,-0.0272557879322807,9.98797730163076,-0.576653871357805,4.31e-05,0,0.282
11,0.0629975491749586,11.004000992709,1.18226353240108,1.31e-21,0,4.9e-07
12,0.0562057252946206,11.9913486615648,-0.661523675858199,3.5e-17,0,0.0108
13,-0.0802931980458696,13.0321171209591,2.64001791527199,5.15e-34,0,1.64e-47
14,-0.109575982986354,14.0942938209991,3.2290184236295,2.2e-62,0,1.82e-125
