"timeBgn","elapsed_days","iso","residuals_phi","rediduals_no_phi"
2018-09-28,0,-27.06116991,-0.325233449202822,-0.32523274252079
2018-09-28 00:30:00,0.0208333333321207,-25.0052922413242,0.0152413664616173,0.0152420732208474
2018-09-28 01:00:00,0.0416666666678793,-26.6109867034026,-0.250030684731546,-0.250029977895219
2018-09-28 02:00:00,0.0833333333321207,-25.2839050301676,-0.0297592805764332,-0.0297585735862091
2018-09-28 02:30:00,0.104166666667879,-25.168889975,-0.0103680758602165,-0.0103673687931927
2018-09-28 03:00:00,0.125,-24.2162511545662,0.14759426213217,0.147594969275894
2018-09-28 03:30:00,0.145833333332121,-24.6548494245353,0.0753993442334939,0.0754000514538166
2018-09-28 04:30:00,0.1875,-25.0277989204842,0.0144290445380394,0.0144297519112641
2018-09-28 05:00:00,0.208333333332121,-27.154580024,-0.337047820016056,-0.337047112566532
2018-09-28 05:30:00,0.229166666667879,-27.3002260723744,-0.36077840638957,-0.360777698863844
2018-09-28 06:00:00,0.25,-27.3802137407063,-0.373646842685486,-0.37364613508366
2018-09-28 07:00:00,0.291666666667879,-26.7895334498141,-0.275199930340343,-0.275199222586612
2018-09-28 07:30:00,0.3125,-28.073179912,-0.487193776535747,-0.487193068706215
2018-09-28 08:00:00,0.333333333332121,-26.8617671461187,-0.28642103858753,-0.286420330682294
2018-09-28 08:30:00,0.354166666667879,-27.689959086803,-0.423067320802406,-0.423066612821567
2018-09-28 09:30:00,0.395833333332121,-28.3877747303538,-0.537780377422479,-0.537779669290735
2018-09-28 10:00:00,0.416666666667879,-30.309869915,-0.855394818733247,-0.855394110526199
2018-09-28 10:30:00,0.4375,-30.1869977269406,-0.834702974701707,-0.834702266419455
2018-09-28 11:00:00,0.458333333332121,-29.5337081195167,-0.726262238007393,-0.726261529650037
2018-09-28 12:00:00,0.5,-29.5251099439479,-0.724110240789227,-0.724109532281962
2018-09-28 12:30:00,0.520833333332121,-30.851646352439,-0.943199023135859,-0.94319831455379
2018-09-28 13:00:00,0.541666666667879,-28.9630958815068,-0.630404483162653,-0.630403774505877
2018-09-28 13:30:00,0.5625,-29.0259925538175,-0.640444744154497,-0.640444035423116
2018-09-28 14:30:00,0.604166666667879,-30.731198863227,-0.921813028719563,-0.921812319839271
2018-09-28 15:00:00,0.625,-30.082040004,-0.814055258302425,-0.814054549347826
2018-09-28 15:30:00,0.645833333332121,-29.9980799363014,-0.799800287287061,-0.799799578258257
2018-09-28 16:00:00,0.666666666667879,-29.194854772067,-0.666554680283658,-0.666553971180746
2018-09-28 17:00:00,0.708333333332121,-29.9960909727273,-0.798375475079715,-0.79837476582889
2018-10-02 17:00:00,4.70833333333212,-24.331870809176,0.20967515584711,0.209675877436249
2018-10-02 17:30:00,4.72916666666788,-24.5025641179487,0.18181072250595,0.181811444149695
2018-10-02 18:00:00,4.75,-24.4188286576613,0.19603738685402,0.196038108552268
2018-10-02 18:30:00,4.77083333333212,-24.9119099574109,0.114839240603835,0.114839962356488
2018-10-02 19:30:00,4.8125,-23.8616585690432,0.289334287116483,0.289335008977643
2018-10-02 20:00:00,4.83333333333212,-22.61464997,0.49600553041309,0.496006252328354
2018-10-02 20:30:00,4.85416666666788,-22.5117399,0.513404519582376,0.513405241551642
2018-10-02 21:00:00,4.875,-23.4335205410448,0.361285315161983,0.361286037185154
2018-10-02 22:30:00,4.9375,-23.4019607996269,0.36762934472017,0.367630066904449
2018-10-02 23:00:00,4.95833333333212,-22.5640247875,0.506626492846306,0.506627215084087
2018-10-02 23:30:00,4.97916666666788,-22.5134435245968,0.515368780547375,0.51536950283856
2018-10-03,5,-22.8171824789572,0.465494652588171,0.465495374932659
2018-10-03 01:00:00,5.04166666666788,-22.0936822474766,0.585934969527511,0.585935691978302
2018-10-03 01:30:00,5.0625,-22.496250105,0.519711343094747,0.519712065598541
2018-10-03 02:00:00,5.08333333333212,-22.9612595625755,0.443157819940717,0.443158542497411
2018-10-03 02:30:00,5.10416666666788,-24.6608026100559,0.16237104789933,0.162371770508826
2018-10-03 03:30:00,5.14583333333212,-24.5683246375,0.178419500533185,0.178420223247983
2018-10-03 04:00:00,5.16666666666788,-24.8176002025,0.137555761266318,0.137556484033618
2018-10-03 04:30:00,5.1875,-24.7236652866935,0.153470593448401,0.153471316268101
2018-10-03 05:00:00,5.20833333333212,-24.8194003629423,0.13800768262914,0.138008405501141
2018-10-03 06:00:00,5.25,-25.3243233620561,0.055226357867769,0.0552270808440697
2018-10-03 06:30:00,5.27083333333212,-25.405175165,0.0422257574709029,0.0422264804992044
2018-10-03 07:00:00,5.29166666666788,-25.2270140885312,0.0720746192289816,0.0720753423091818
2018-10-03 07:30:00,5.3125,-24.7366450194805,0.153573200112611,0.153573923244612
2018-10-08 21:30:00,10.8958333333321,-29.2697358484277,-0.494579462911056,-0.494578729506047
2018-10-08 22:00:00,10.9166666666679,-28.9289368821053,-0.437816041331558,-0.437815307901666
2018-10-08 23:00:00,10.9583333333321,-29.2513333962756,-0.490383497088671,-0.490382763609314
2018-10-09,11,-28.8468934781308,-0.422707709645521,-0.422706976117098
2018-10-09 00:30:00,11.0208333333321,-28.99004994375,-0.446006629111506,-0.446005895558699
2018-10-09 01:00:00,11.0416666666679,-28.7295172466843,-0.402521786939972,-0.402521053362884
2018-10-09 01:30:00,11.0625,-28.5623936548507,-0.374489919985376,-0.374489186384103
2018-10-09 02:30:00,11.1041666666679,-28.8931526932961,-0.428440456744907,-0.428439723095566
2018-10-09 03:00:00,11.125,-29.12163756875,-0.465855430554457,-0.465854696881231
